batch_idx,epoch,step,test_loss,train_loss
49.0,0,49,,0.40354424715042114
99.0,0,99,,0.3771893084049225
149.0,0,149,,0.3830172121524811
199.0,0,199,,0.35404685139656067
249.0,0,249,,0.31812408566474915
299.0,0,299,,0.3169521987438202
349.0,0,349,,0.3154238164424896
399.0,0,399,,0.3065635561943054
449.0,0,449,,0.27888908982276917
499.0,0,499,,0.2882729768753052
549.0,0,549,,0.2832795977592468
599.0,0,599,,0.284773588180542
649.0,0,649,,0.27296632528305054
2.0,1,699,,0.2902109622955322
52.0,1,749,,0.2466384768486023
102.0,1,799,,0.2656359076499939
152.0,1,849,,0.23377574980258942
202.0,1,899,,0.23168207705020905
252.0,1,949,,0.26834794878959656
302.0,1,999,,0.226377934217453
352.0,1,1049,,0.22335396707057953
402.0,1,1099,,0.2284907102584839
452.0,1,1149,,0.21126686036586761
502.0,1,1199,,0.25143754482269287
552.0,1,1249,,0.21059665083885193
602.0,1,1299,,0.2158009111881256
652.0,1,1349,,0.20700441300868988
5.0,2,1399,,0.22870659828186035
55.0,2,1449,,0.20140264928340912
105.0,2,1499,,0.21477434039115906
155.0,2,1549,,0.20321881771087646
205.0,2,1599,,0.2020002007484436
255.0,2,1649,,0.22844643890857697
305.0,2,1699,,0.21290434896945953
355.0,2,1749,,0.21821939945220947
405.0,2,1799,,0.19254501163959503
455.0,2,1849,,0.20399713516235352
505.0,2,1899,,0.20283788442611694
555.0,2,1949,,0.21418066322803497
605.0,2,1999,,0.19741104543209076
655.0,2,2049,,0.18412506580352783
8.0,3,2099,,0.2126745730638504
58.0,3,2149,,0.20271898806095123
108.0,3,2199,,0.1714538037776947
158.0,3,2249,,0.19646137952804565
208.0,3,2299,,0.2042112648487091
258.0,3,2349,,0.19343823194503784
308.0,3,2399,,0.18864403665065765
358.0,3,2449,,0.22374814748764038
408.0,3,2499,,0.18649666011333466
458.0,3,2549,,0.19377270340919495
508.0,3,2599,,0.18157678842544556
558.0,3,2649,,0.16987086832523346
608.0,3,2699,,0.21704940497875214
658.0,3,2749,,0.20332229137420654
,4,2788,0.19969652593135834,
