batch_idx,epoch,step,test_loss,train_loss
49.0,0,49,,0.43512922525405884
99.0,0,99,,0.3706648051738739
149.0,0,149,,0.36195069551467896
199.0,0,199,,0.3352796137332916
249.0,0,249,,0.3345397710800171
299.0,0,299,,0.3583177626132965
349.0,0,349,,0.30491018295288086
399.0,0,399,,0.27901309728622437
449.0,0,449,,0.27517709136009216
499.0,0,499,,0.29245269298553467
549.0,0,549,,0.2773691713809967
599.0,0,599,,0.2643570899963379
649.0,0,649,,0.2598084807395935
2.0,1,699,,0.2793428301811218
52.0,1,749,,0.241718128323555
102.0,1,799,,0.2493303418159485
152.0,1,849,,0.25527819991111755
202.0,1,899,,0.23853863775730133
252.0,1,949,,0.2433021068572998
302.0,1,999,,0.24806426465511322
352.0,1,1049,,0.20791754126548767
402.0,1,1099,,0.2258741557598114
452.0,1,1149,,0.2141721397638321
502.0,1,1199,,0.2101643979549408
552.0,1,1249,,0.2229500412940979
602.0,1,1299,,0.1881713718175888
652.0,1,1349,,0.20607329905033112
5.0,2,1399,,0.2104964554309845
55.0,2,1449,,0.2080303132534027
105.0,2,1499,,0.23147523403167725
155.0,2,1549,,0.21829426288604736
205.0,2,1599,,0.20274879038333893
255.0,2,1649,,0.18867333233356476
305.0,2,1699,,0.194830983877182
355.0,2,1749,,0.18533702194690704
405.0,2,1799,,0.2053528130054474
455.0,2,1849,,0.18618439137935638
505.0,2,1899,,0.19438380002975464
555.0,2,1949,,0.19537067413330078
605.0,2,1999,,0.1868019998073578
655.0,2,2049,,0.20387579500675201
8.0,3,2099,,0.19925899803638458
58.0,3,2149,,0.19342634081840515
108.0,3,2199,,0.17998863756656647
158.0,3,2249,,0.20686188340187073
208.0,3,2299,,0.20958660542964935
258.0,3,2349,,0.19184574484825134
308.0,3,2399,,0.1798139065504074
358.0,3,2449,,0.19706881046295166
408.0,3,2499,,0.18889495730400085
458.0,3,2549,,0.185967355966568
508.0,3,2599,,0.19431909918785095
558.0,3,2649,,0.1826516091823578
608.0,3,2699,,0.16201964020729065
658.0,3,2749,,0.20671650767326355
,4,2788,0.18706649541854858,
